Property (IRI),Intent (what it links),Domain → Range,Reuse / Alignment,Constraints & notes,Tiny example
dsao:hasExitPlan,Exit/termination plan,dsao:DSA → dsao:ExitPlan,—,—,:DSA1 dsao:hasExitPlan :Exit1 .
dsao:exitTrigger,When DSA ends,dsao:ExitPlan → literal/IRI,—,—,":Exit1 dsao:exitTrigger ""Contract end"" ."
dsao:dataDisposition,Return/delete disposition,dsao:ExitPlan → literal/IRI,—,—,":Exit1 dsao:dataDisposition ""SecureDelete"" ."
dsao:postTerminationObligation,Continuing duties,dsao:ExitPlan → literal/IRI,—,—,":Exit1 dsao:postTerminationObligation ""No reuse"" ."
dsao:appliesRegime,Special legal regime flag,dsao:DSA → dsao:Regime,—,Use if special regimes apply.,:DSA1 dsao:appliesRegime :LERegime .
dsao:population,Covered population,dsao:DSA/dsao:ProcessingActivity → dsao:Population,—,Use for children/vulnerable groups.,:DSA1 dsao:population :Children .
dsao:enhancedSafeguard,Extra protections for populations,dsao:DSA → dpv:TechnicalOrganisationalMeasure,DPV,Triggered by population.,:DSA1 dsao:enhancedSafeguard :AgeAppropriateDesign .
dct:hasVersion,Version identifier,dsao:DSA → literal,DCT,Semantic versioning recommended.,":DSA1 dct:hasVersion ""1.2.0"" ."
dsao:approvalRecord,Governance approval record,dsao:DSA → IRI/literal,—,Link to system record.,:DSA1 dsao:approvalRecord <…/approval/123> .
dsao:changeLog,Change history pointer,dsao:DSA → IRI/literal,—,—,:DSA1 dsao:changeLog <…/changelog> .
dsao:onwardSharingRule,Conditions on re-disclosure,odrl:Policy/dsao:PolicyFragment → literal/IRI,—,State redisclosure limits.,":Pol1 dsao:onwardSharingRule ""No third parties"" ."
dsao:justifies,Review note → justified node,dsao:ReviewNote → rdfs:Resource,—,For HITL traceability.,:RN1 dsao:justifies :PA1 .
dsao:guidelineRef,Review note → guideline citation,dsao:ReviewNote → CURIE/IRI literal,—,"E.g., ICO-2021-§3.2.",":RN1 dsao:guidelineRef ""ICO-2021-3.2"" ."
